Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,NorthCarolina,NorthDakota,Nebraska,NewHampshire,NewJersey,NewMexico,Nevada,NewYork,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,WestVirginia,Wyoming
Hawaii,1.630189652,1.447625593,0.47251874,2.936059623,19.00169677,2.850147125,1.12974935,0.139607809,5.047359265,3.550333985,0,0.433858116,0.706630297,2.016795893,0.708778109,1.149079662,0.990141541,0.960072166,0.897785605,2.186473077,0.320024055,1.224253098,0.710925922,1.726841212,0.457484052,0.474666552,3.967009601,0.163233746,0.337206555,0.223372495,1.076054039,0.627161236,3.112180244,2.948946498,1.469103718,1.350974033,2.534418695,1.26076591,0.431710303,1.739728087,0.107390623,1.314461221,8.376468567,1.428295281,5.35020082,0.107390623,7.745011706,0.723812797,0.199746558,0.23625937
Iowa,0.27783952,0.60383789,0.942802104,2.98214418,5.667926206,2.972882863,0.426020597,0.155590131,3.02474624,1.62443506,0.437134178,0,0.520486034,15.99614729,2.161591465,2.65614581,0.853893458,0.451952286,0.46491813,0.589019782,0.155590131,2.356079129,7.483144402,5.95317478,0.446395495,0.322293843,1.728161814,0.481588501,10.19300585,0.196339927,0.753871231,0.526042824,0.868711566,1.354004594,1.667037119,1.128028451,0.752018967,1.307698007,0.062976958,0.709416907,2.782099726,1.357709121,5.471586278,0.902052308,1.444765503,0.0963177,1.524412832,4.584352078,0.112988071,0.468622657
Idaho,1.69289625,0.382562481,0.396307241,5.09930589,15.75149474,3.207110622,0.23595171,0.061851419,1.818889882,1.133942684,0.671202437,0.591024672,0,1.161432204,0.540627219,0.72159989,0.437541521,0.462740247,0.284058369,0.474194213,0.132866011,0.746798616,0.902572561,0.93006208,0.313838682,3.571346757,1.20724807,0.5131377,0.538336426,0.185554257,0.323001856,0.868210661,4.831283073,1.094999198,0.794905276,0.815522415,8.913476737,0.769706549,0.01374476,0.396307241,0.410052001,0.72847227,4.034087004,10.59950061,1.363022015,0.071014592,16.77318856,0.607060225,0.082468559,2.343481548
Illinois,0.290321976,0.937146853,0.992089507,3.084280782,7.266790288,1.952337248,0.792922387,0.186680153,6.253472938,3.123614727,0.466388207,4.30113569,0.260353256,0,9.008722146,1.141933107,1.808737131,0.744223217,1.370444598,1.113837432,0.155462736,5.413100077,2.521118582,6.652431525,0.897812908,0.152340994,2.258892281,0.210405389,0.691153608,0.204161906,1.615189146,0.43517079,1.221849694,3.309046183,3.844112707,0.873463323,0.614358763,2.036624273,0.162954916,0.834129377,0.244744548,2.313834935,6.10612673,0.632464865,2.499266391,0.111134004,1.6701318,6.841609071,0.192299288,0.189177546
Indiana,0.23728577,1.165491869,0.664998355,2.004965055,4.446615687,1.428699614,0.450643563,0.169489836,7.094645118,2.748726334,0.326018684,0.961107068,0.25822275,18.49931706,0,0.820530204,8.916162351,0.809563215,0.70089032,0.870380156,0.125621878,7.509396716,1.049839982,2.274154794,0.685935335,0.171483834,2.272160796,0.136588868,0.364901646,0.138582866,0.893311133,0.415748597,0.813551211,2.236268831,9.046769225,0.833491192,0.55632546,1.858406197,0.098702904,1.208362828,0.182450823,3.301063798,4.902244245,0.561310456,1.865385191,0.091723911,1.221323815,1.975055084,0.450643563,0.18544182
Kansas,0.62633514,1.113161757,1.662476567,2.689898711,5.517852731,4.853734033,0.235420633,0.183104937,3.44266345,2.596893029,0.74549867,1.857207214,0.433057707,2.888988999,1.313705259,0,1.084097482,0.887913621,0.446136631,0.77601616,0.135148882,1.543313037,1.377646666,22.58875503,0.514437679,0.313894177,2.2670135,0.386554866,3.191257466,0.140961737,0.677197623,0.985278944,0.837051139,2.003981806,1.543313037,6.379608504,0.694636188,1.225059218,0.034877131,0.976559662,0.534782672,1.42560272,10.1536047,0.71062154,2.330954907,0.06539462,2.003981806,0.985278944,0.146774592,0.472294479
Kentucky,0.512701854,1.997223372,0.725820201,1.27262099,3.381883723,1.173977641,0.305672602,0.118128456,6.685827021,4.387802324,0.55897898,0.55897898,0.227732177,4.592395937,11.15278759,1.055849185,0,1.024185888,0.521226587,1.054631366,0.136395743,3.042112185,0.565068076,2.781498892,0.763572594,0.135177923,3.284458192,0.110821541,0.2800984,0.172930316,0.696592542,0.338553718,0.617434299,2.109262732,13.33999074,0.981562218,0.421365419,1.826728694,0.087682977,1.741481355,0.11203936,10.81301605,5.555690869,0.460335631,4.253842219,0.051148403,1.171542003,0.875611954,1.801154493,0.164405582
Louisiana,0.564781906,3.378352181,3.355088853,1.351857835,5.165751212,1.832633279,0.369628433,0.155088853,7.246526656,5.995476575,0.642326333,0.471728595,0.177059774,1.925686591,1.129563813,0.958966074,1.077867528,0,0.717285945,1.021001616,0.136995153,1.357027464,0.535056543,1.978675283,8.684975767,0.231340872,3.732471729,0.195153473,0.363166397,0.121486268,0.880129241,0.515670436,0.789660743,2.481421648,1.66720517,1.79644588,0.465266559,1.258804523,0.138287561,1.341518578,0.118901454,2.942810985,25.1812601,0.436833603,2.560258481,0.074959612,1.371243942,0.612600969,0.226171244,0.267528271
Massachusetts,0.158763537,0.455262328,0.237619598,1.441488802,7.498685732,1.454105772,6.991904111,0.298601619,9.992640101,2.391967196,0.451056671,0.324886973,0.158763537,2.493954369,0.707601724,0.355377983,0.459467984,0.426874146,0,2.041846283,2.630638208,1.3521186,0.897907686,0.887393544,0.230259699,0.15455788,3.037535485,0.076753233,0.194511618,8.620544633,4.285564084,0.398485964,0.545683945,12.21322679,1.882031332,0.280727579,0.609820208,4.131006203,6.761644412,1.019871727,0.073598991,0.880033645,3.268846599,0.451056671,2.878771948,1.567658501,1.313216276,0.732835664,0.187151719,0.095678688
Maryland,0.337411484,0.775608217,0.297097385,1.290051181,5.868330646,1.382072495,1.134053144,3.191825002,7.233751665,3.928871906,1.084098717,0.365456075,0.169143939,1.974514478,0.896550515,0.530218047,0.657295099,0.681834116,1.932447592,0,0.325141976,1.652001683,0.684463297,0.782619365,0.416286896,0.116560331,5.009465049,0.092897707,0.276940335,0.315501648,5.424875552,0.429432798,0.674822969,6.720185094,2.289139732,0.502173456,0.437320339,9.64996845,0.371590829,1.63096824,0.113054757,1.429397742,4.83769193,0.511813784,17.01693192,0.167391152,1.465329875,0.584554442,2.265477109,0.075369838
Maine,0.803865782,0.736124283,0.320643093,1.770311159,4.529648196,1.783859459,4.999322585,0.176127896,9.646389378,1.919342456,0.690963284,0.514835388,0.316126993,1.341281669,0.591609086,0.410965091,0.776769182,0.609673486,13.51217089,1.923858556,0,1.196766472,0.668382785,0.736124283,0.347739692,0.311610893,3.066431829,0.239353294,0.289030393,12.69475681,2.321275347,0.627737886,0.564512487,6.376733053,1.571602764,0.636770085,0.776769182,3.639976516,1.829020458,1.436119767,0.117418597,1.070315675,3.540622319,0.519351488,3.192882627,2.307727047,1.363862169,0.731608183,0.239353294,0.212256695
Michigan,0.502879079,1.63243762,0.765834933,3.197696737,6.176583493,1.979846449,0.633397313,0.1756238,9.782149712,3.776391555,0.583493282,1.098848369,0.317658349,7.466410749,6.680422265,0.962571977,2.107485605,0.920345489,1.047984645,1.16890595,0.216890595,0,1.43378119,1.904990403,0.798464491,0.293666027,3.467370441,0.273512476,0.391554702,0.251439539,1.119961612,0.480806142,1.494241843,3.483685221,8.752399232,0.80134357,0.696737044,2.203454894,0.137236084,1.544145873,0.23512476,3.736084453,6.027831094,0.595009597,2.680422265,0.167946257,1.581573896,3.375239923,0.381957774,0.496161228
Minnesota,0.611403772,0.498130305,0.665993395,3.488276879,6.943799984,2.859131479,0.495400824,0.156945165,3.961841854,2.017086552,0.402598466,5.812430057,0.559543631,6.477058711,1.731855774,1.146382073,0.642792805,0.450364386,1.069956601,0.792914267,0.223817452,2.775882305,0,2.209514971,0.393045282,0.792914267,1.763244807,7.327292082,1.806916505,0.227911674,1.056309196,0.488577121,1.140923111,2.281846221,2.066217212,0.817479597,1.199606955,1.577640091,0.147391981,0.650981248,3.58926768,1.226901766,5.377077818,0.884351885,1.786445397,0.147391981,2.184949641,14.50173322,0.150121462,0.420340093
Missouri,0.638303882,1.064781254,4.607461942,2.225590525,5.728730265,2.414822207,0.353985633,0.134627515,4.389045274,2.52308909,0.728683192,2.929795988,0.461311065,12.20403129,2.062719476,14.72806183,1.623061787,1.227652303,0.527212646,0.774814299,0.147807831,2.008115309,1.305792749,0,0.974401943,0.272079383,2.156864591,0.2447773,1.709675293,0.128037357,0.689142244,0.577109557,1.023357403,1.86219038,1.9601013,3.20940698,0.744687862,1.335919186,0.08943786,0.821886856,0.458486711,2.453421704,7.534433576,0.921680679,2.080607048,0.07343319,1.658836931,1.654129675,0.200529096,0.355868536
Mississippi,0.407440213,9.374667848,3.241806909,1.032772365,3.447298494,1.208148804,0.232063773,0.122232064,7.470327724,6.02125775,0.34720992,0.591674048,0.186005314,3.155004429,1.305580159,0.635961027,1.317980514,11.38883968,0.272807795,0.742249779,0.125775022,1.71656333,0.503100089,1.969884854,0,0.168290523,2.481842338,0.138175376,0.458813109,0.122232064,0.697962799,0.430469442,0.660761736,1.376439327,1.571302037,1.131975199,0.301151461,1.023914969,0.093888397,1.438441098,0.125775022,16.97254207,8.697962799,0.416297609,2.421612046,0,0.979627989,1.08768822,0.212577502,0.17360496
Montana,2.059289432,0.731688919,0.535566116,4.280757336,10.04375047,5.56309874,0.339443313,0.094289809,2.956928415,1.369088029,0.712830957,0.848608282,6.015689824,1.46714943,0.746775289,0.822207136,0.569510447,0.452591084,0.478992231,0.595911594,0.256468281,1.802821151,2.658972618,1.493550577,0.478992231,0,1.293656182,3.09270574,0.856151467,0.313042166,0.467677453,1.161650449,3.04367504,1.440748284,1.255940258,1.191823188,4.763521159,1.501093762,0.094289809,0.418646753,1.685901788,1.13147771,4.703175681,3.767820774,1.572754017,0.28664102,11.17522818,1.678358603,0.245153504,5.483895301
NorthCarolina,0.499347042,1.574625379,0.548042232,1.425883707,5.32946723,1.361251909,1.289094491,0.397087142,10.02235552,6.690276456,0.732641271,0.526793422,0.258527192,2.215188473,1.471922796,0.858363399,1.288209124,0.955753779,1.649881582,3.024413998,0.414794484,2.444941234,0.692357069,1.208083402,0.694570486,0.156709976,0,0.081896456,0.285530888,0.475884814,3.405121849,0.382478585,0.531220257,7.216184511,3.685783218,0.784435246,0.490050687,4.00672879,0.378494433,8.451271608,0.111998938,2.755705084,5.096173001,0.441355497,10.21979238,0.232408863,1.318754288,0.835786538,0.954425729,0.127935545
NorthDakota,1.299911269,0.559006211,0.532386868,2.551020408,4.210292813,4.196983141,0.230700976,0.062111801,2.763975155,1.086956522,0.492457853,1.424134871,2.590949423,1.464063886,0.829636202,0.887311446,0.354924579,0.847382431,0.279503106,0.452528838,0.141969831,1.992014197,26.8988465,1.268855368,0.536823425,6.339840284,1.171251109,0,1.140195209,0.106477374,0.381543922,0.874001775,1.397515528,1.082519965,1.100266193,1.330967169,1.20230701,0.856255546,0,0.461401952,5.488021295,0.709849157,5.226264419,2.071872227,0.940550133,0,2.8527063,2.679680568,0.190771961,4.440993789
