Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,NorthCarolina,NorthDakota,Nebraska,NewHampshire,NewJersey,NewMexico,Nevada,NewYork,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,WestVirginia,Wyoming,,,
Minnesota,448,365,488,2556,5088,2095,363,115,2903,1478,295,4259,410,4746,1269,840,471,330,784,581,164,2034,0,1619,288,581,1292,5369,1324,167,774,358,836,1672,1514,599,879,1156,108,477,2630,899,3940,648,1309,108,1601,10626,110,308,,,73274
Missouri,678,1131,4894,2364,6085,2565,376,143,4662,2680,774,3112,490,12963,2191,15644,1724,1304,560,823,157,2133,1387,0,1035,289,2291,260,1816,136,732,613,1087,1978,2082,3409,791,1419,95,873,487,2606,8003,979,2210,78,1762,1757,213,378,,,106219
Mississippi,230,5292,1830,583,1946,682,131,69,4217,3399,196,334,105,1781,737,359,744,6429,154,419,71,969,284,1112,0,95,1401,78,259,69,394,243,373,777,887,639,170,578,53,812,71,9581,4910,235,1367,0,553,614,120,98,,,56450
Montana,546,194,142,1135,2663,1475,90,25,784,363,189,225,1595,389,198,218,151,120,127,158,68,478,705,396,127,0,343,820,227,83,124,308,807,382,333,316,1263,398,25,111,447,300,1247,999,417,76,2963,445,65,1454,,,26514
NorthCarolina,1128,3557,1238,3221,12039,3075,2912,897,22640,15113,1655,1190,584,5004,3325,1939,2910,2159,3727,6832,937,5523,1564,2729,1569,354,0,185,645,1075,7692,864,1200,16301,8326,1772,1107,9051,855,19091,253,6225,11512,997,23086,525,2979,1888,2156,289,,,225895
NorthDakota,293,126,120,575,949,946,52,14,623,245,111,321,584,330,187,200,80,191,63,102,32,449,6063,286,121,1429,264,0,257,24,86,197,315,244,248,300,271,193,0,104,1237,160,1178,467,212,0,643,604,43,1001,,,22540
Nebraska,177,315,391,1247,2356,2815,105,53,1512,658,198,5548,273,1290,438,2352,254,252,172,228,60,517,1009,1912,230,278,550,356,0,52,248,302,627,479,602,611,360,402,57,221,1443,399,2754,514,687,28,792,450,42,772,,,37388
NewHampshire,74,100,37,378,1032,381,1027,87,2168,463,99,78,60,316,214,93,101,113,9744,374,2468,302,145,182,40,83,768,26,53,0,620,78,156,1791,383,99,146,765,417,367,36,232,759,172,682,1888,268,150,59,61,,,30135
NewJersey,206,558,315,1326,6447,918,2873,1751,11737,3586,412,324,144,2685,874,403,477,494,3506,3233,357,1441,621,770,228,124,4125,60,165,440,0,242,790,44551,1967,353,381,19356,646,1448,81,1010,4079,330,4089,251,1007,630,265,73,,,132149
NewMexico,594,397,479,9499,5215,4270,220,48,1931,850,313,327,503,980,494,732,280,385,387,515,111,695,434,743,274,381,811,161,344,151,314,0,1669,925,827,1157,664,641,62,388,235,532,11244,1184,1179,103,1274,439,105,386,,,55852
Nevada,731,418,427,6481,28563,2536,312,88,3632,1203,1739,468,1600,2329,795,575,355,546,578,635,95,1313,750,954,457,556,1045,203,553,126,988,1221,0,2025,1321,817,2064,1053,117,470,277,743,4534,4122,1351,66,3297,752,118,497,,,85896
NewYork,599,1720,731,3522,17025,2973,11276,1110,29124,9101,1250,758,347,6057,2019,1279,1520,1519,10821,5983,1095,3998,1774,2027,704,299,10171,165,516,1429,33418,786,1728,0,5487,1173,1393,19294,1646,4204,209,2528,10197,1113,9035,1899,3040,1522,551,190,,,230325
Ohio,425,1746,829,2991,6358,2080,969,348,11970,4982,587,911,425,5819,8341,1127,9470,1106,1566,2129,322,9400,1300,1972,889,230,5492,219,492,343,2223,646,1396,5291,0,1049,640,8016,228,2668,249,3991,6874,898,4442,176,1660,1686,4907,263,,,132141
Oklahoma,676,882,5645,2405,5640,2860,236,115,3357,2123,668,653,372,1603,918,5560,726,1386,313,552,82,1079,655,3869,724,281,1819,296,705,113,471,1328,1023,1296,1385,0,616,893,78,668,248,1336,18957,660,1462,40,1601,651,226,388,,,79640
